total_wage,num_in_field,field
34042507585.0,486964,COMPUTER SYSTEMS ANALYSTS
33072218045.0,395703,"SOFTWARE DEVELOPERS, APPLICATIONS"
23899853301.0,380260,COMPUTER PROGRAMMERS
12118358130.0,171840,"COMPUTER OCCUPATIONS, ALL OTHER"
7267283030.0,79408,"SOFTWARE DEVELOPERS, SYSTEMS SOFTWARE"
4519294547.0,63175,MANAGEMENT ANALYSTS
3828157351.0,49577,FINANCIAL ANALYSTS
2916321384.0,48321,ACCOUNTANTS AND AUDITORS
2885347478.0,41170,MECHANICAL ENGINEERS
2529083669.0,38200,NETWORK AND COMPUTER SYSTEMS ADMINISTRATORS
2489283956.0,37051,DATABASE ADMINISTRATORS
2973759625.0,34316,"ELECTRONICS ENGINEERS, EXCEPT COMPUTER"
1805903113.0,33996,MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS
2269246761.0,32493,OPERATIONS RESEARCH ANALYSTS
2494923639.0,31647,ELECTRICAL ENGINEERS
2956139583.0,30874,"COMPUTER SOFTWARE ENGINEERS, APPLICATIONS"
3419501109.0,30272,"PHYSICIANS AND SURGEONS, ALL OTHER"
2909607236.0,25802,COMPUTER AND INFORMATION SYSTEMS MANAGERS
1830183034.0,25038,"COMPUTER OCCUPATIONS, ALL OTHER*"
1341012453.0,24670,"MEDICAL SCIENTISTS, EXCEPT EPIDEMIOLOGISTS"
1277376177.0,20339,PHYSICAL THERAPISTS
905315349.0,20138,BIOCHEMISTS AND BIOPHYSICISTS
1274702377.0,17819,INDUSTRIAL ENGINEERS
1236569560.0,17302,COMPUTER SYSTEMS ANALYST
1158420931.0,16548,nan
1095128284.0,16147,STATISTICIANS
794655502.0,15463,"BIOLOGICAL SCIENTISTS, ALL OTHER"
844849791.0,14506,WEB DEVELOPERS
1554886476.0,14434,MARKETING MANAGERS
963475518.0,14326,CIVIL ENGINEERS
2005385601.0,12196,"INTERNISTS, GENERAL"
658462978.0,12110,CHEMISTS
960792500.0,11502,"COMPUTER SOFTWARE ENGINEERS, SYSTEMS SOFTWARE"
732883554.0,11077,"ENGINEERS, ALL OTHER"
515990460.0,10894,GRAPHIC DESIGNERS
1063533315.0,9698,SALES ENGINEERS
1229915127.0,9611,FINANCIAL MANAGERS
935805776.0,9493,GENERAL AND OPERATIONS MANAGERS
570508727.0,9144,SOFTWARE QUALITY ASSURANCE ENGINEERS AND TESTERS
453983397.0,8736,COMMERCIAL AND INDUSTRIAL DESIGNERS
618979389.0,8736,"HEALTH SPECIALTIES TEACHERS, POSTSECONDARY"
860765628.0,8582,PHARMACISTS
474699080.0,7540,NETWORK AND COMPUTER SYSTEMS ADMINISTRATORS*
256984829.0,7427,BIOLOGICAL TECHNICIANS
563335685.0,7348,CHEMICAL ENGINEERS
442025824.0,7163,LOGISTICIANS
793211788.0,7074,LAWYERS
791493117.0,6581,ARCHITECTURAL AND ENGINEERING MANAGERS
576466277.0,6502,"MANAGERS, ALL OTHER"
562903786.0,6311,COMPUTER AND INFORMATION RESEARCH SCIENTISTS
289124166.0,6234,PUBLIC RELATIONS SPECIALISTS
559814909.0,6127,COMPUTER HARDWARE ENGINEERS
351354637.0,6088,"ELEMENTARY SCHOOL TEACHERS, EXCEPT SPECIAL EDUCATI"
314959279.0,5990,"BUSINESS OPERATIONS SPECIALISTS, ALL OTHER"
443342069.0,5963,MATERIALS ENGINEERS
566569219.0,5934,SALES MANAGERS
274156359.0,5745,MEDICAL AND CLINICAL LABORATORY TECHNOLOGISTS
924920100.0,5479,FAMILY AND GENERAL PRACTITIONERS
329237779.0,5477,PHYSICISTS
301350034.0,5353,"BUSINESS TEACHERS, POSTSECONDARY"
289967848.0,5256,"ARCHITECTS, EXCEPT LANDSCAPE AND NAVAL"
438323505.0,5161,"FINANCIAL SPECIALISTS, ALL OTHER"
299981089.0,5012,"ENGINEERING TEACHERS, POSTSECONDARY"
216802655.0,4881,"SECONDARY SCHOOL TEACHERS, EXCEPT SPECIAL AND CARE"
467352245.0,4843,MEDICAL AND HEALTH SERVICES MANAGERS
302312108.0,4807,OCCUPATIONAL THERAPISTS
482430219.0,4738,"DENTISTS, GENERAL"
311475218.0,4718,BIOMEDICAL ENGINEERS
232373062.0,4550,MARKET RESEARCH ANALYSTS
360919046.0,4512,ECONOMISTS
491880627.0,4322,COMPUTER SYSTEMS ENGINEERS/ARCHITECTS
255538781.0,4302,MATERIALS SCIENTISTS
196487434.0,4239,"MATHEMATICAL SCIENCE TEACHERS, POSTSECONDARY"
246615277.0,3691,"INFORMATION SECURITY ANALYSTS, WEB DEVELOPERS, AND"
186747510.0,3629,HUMAN RESOURCES SPECIALISTS
284110045.0,3410,INFORMATION SECURITY ANALYSTS
549987433.0,3401,CHIEF EXECUTIVES
148441810.0,3366,MICROBIOLOGISTS
261522304.0,3293,COST ESTIMATORS
258998007.0,3277,ACTUARIES
138995350.0,3235,ARCHITECTURAL AND CIVIL DRAFTERS
214113500.0,3219,CREDIT ANALYSTS
273594769.0,3113,INDUSTRIAL PRODUCTION MANAGERS
328494304.0,3061,ACCOUNTANTS
140073044.0,3050,"LIFE SCIENTISTS, ALL OTHER"
155021447.0,3040,"HEALTH DIAGNOSING AND TREATING PRACTITIONERS, ALL"
254420029.0,3015,"GEOSCIENTISTS, EXCEPT HYDROLOGISTS AND GEOGRAPHERS"
134526752.0,2917,INSTRUCTIONAL COORDINATORS
168052088.0,2838,COMPLIANCE OFFICERS
157476219.0,2835,BUDGET ANALYSTS
333958789.0,2795,"PEDIATRICIANS, GENERAL"
124516201.0,2765,"FOREIGN LANGUAGE AND LITERATURE TEACHERS, POSTSECO"
147443836.0,2761,FOOD SCIENTISTS AND TECHNOLOGISTS
120554813.0,2757,SOIL AND PLANT SCIENTISTS
168638408.0,2721,MULTIMEDIA ARTISTS AND ANIMATORS
124518806.0,2713,"SECONDARY SCHOOL TEACHERS, EXCEPT SPECIAL AND"
144567965.0,2625,FASHION DESIGNERS
264573090.0,2577,PETROLEUM ENGINEERS
163832955.0,2555,ENVIRONMENTAL ENGINEERS
155137349.0,2548,SPEECH-LANGUAGE PATHOLOGISTS
130066475.0,2523,TRAINING AND DEVELOPMENT SPECIALISTS
215409392.0,2495,ADVERTISING AND PROMOTIONS MANAGERS
130022152.0,2462,"COMPUTER SCIENCE TEACHERS, POSTSECONDARY"
187554575.0,2424,COMPUTER SUPPORT SPECIALISTS
104097382.0,2404,"ELEMENTARY SCHOOL TEACHERS, EXCEPT SPECIAL"
119508944.0,2390,"BUSINESS OPERATIONS SPECIALISTS, ALL OTHER*"
105544442.0,2351,INTERIOR DESIGNERS
210880864.0,2328,COMPUTER NETWORK ARCHITECTS
198482094.0,2310,PURCHASING MANAGERS
127393124.0,2279,COMPUTER PROGRAMMER
68288589.0,2253,COACHES AND SCOUTS
111322854.0,2245,EDITORS
138984011.0,2242,"COMPUTER SPECIALISTS, ALL OTHER"
80656385.0,2238,SOCIAL SCIENCE RESEARCH ASSISTANTS
104349150.0,2225,COMPUTER USER SUPPORT SPECIALISTS
168518820.0,2206,CONSTRUCTION MANAGERS
132727096.0,2198,"ECONOMICS TEACHERS, POSTSECONDARY"
185617612.0,2101,ART DIRECTORS
283050186.0,2096,PSYCHIATRISTS
131040820.0,1997,VETERINARIANS
90102784.0,1991,"HEALTHCARE PRACTITIONERS AND TECHNICAL WORKERS, AL"
88013863.0,1908,"Human Resources, Training, and Labor Relations Spe"
107323115.0,1875,TECHNICAL WRITERS
147099089.0,1824,AEROSPACE ENGINEERS
61398232.0,1804,"TEACHERS AND INSTRUCTORS, ALL OTHER"
107390970.0,1776,REGISTERED NURSES
123759368.0,1773,MATHEMATICIANS
95665310.0,1762,"BIOLOGICAL SCIENCE TEACHERS, POSTSECONDARY"
78841904.0,1652,"ART, DRAMA, AND MUSIC TEACHERS, POSTSECONDARY"
130163345.0,1623,"TRANSPORTATION, STORAGE, AND DISTRIBUTION MANAGERS"
169639299.0,1566,NATURAL SCIENCES MANAGERS
87716744.0,1559,COMPUTER SYSTEMS ENGINEERS
65136851.0,1552,"MIDDLE SCHOOL TEACHERS, EXCEPT SPECIAL AND CAREER/"
57278718.0,1551,REPORTERS AND CORRESPONDENTS
125631046.0,1499,INFORMATION TECHNOLOGY PROJECT MANAGERS
103347913.0,1478,"EDUCATION ADMINISTRATORS, POSTSECONDARY"
93835991.0,1467,PRODUCERS AND DIRECTORS
61430918.0,1376,"Secondary School Teachers, Except Special and Voca"
54664866.0,1370,INTERPRETERS AND TRANSLATORS
105289127.0,1359,"PRESCHOOL TEACHERS, EXCEPT SPECIAL EDUCATION"
62708261.0,1347,"MECHANICAL ENGINEERS, R&D"
67858467.0,1341,"ELECTRICAL ENGINEERS, R&D"
148382146.0,1326,ENGINEERING MANAGERS
72445275.0,1320,"PHYSICAL SCIENTISTS, ALL OTHER"
131410447.0,1319,HUMAN RESOURCES MANAGERS
65030821.0,1300,"CHEMISTRY TEACHERS, POSTSECONDARY"
123655780.0,1300,"SECURITIES, COMMODITIES, AND FINANCIAL SERVICES SA"
73249656.0,1280,SOCIAL AND COMMUNITY SERVICE MANAGERS
59456630.0,1278,"EDUCATION TEACHERS, POSTSECONDARY"
59700742.0,1273,FOOD SERVICE MANAGERS
49040930.0,1237,"KINDERGARTEN TEACHERS, EXCEPT SPECIAL EDUCATION"
71595065.0,1228,COMPUTER NETWORK SUPPORT SPECIALISTS
97404124.0,1223,MARINE ENGINEERS AND NAVAL ARCHITECTS
59450436.0,1214,MODELS
54848553.0,1210,JUDICIAL LAW CLERKS
65298182.0,1198,"PHYSICS TEACHERS, POSTSECONDARY"
61096330.0,1195,"HEALTHCARE PRACTITIONERS AND TECHNICAL WORKERS,"
78418036.0,1187,"SOFTWARE DEVELOPERS, APPLICATIONS, NON R & D"
53979163.0,1170,"FOREIGN LANGUAGE AND LITERATURE TEACHERS,"
45812641.0,1152,"DESIGNERS, ALL OTHER"
56129300.0,1140,LODGING MANAGERS
71929788.0,1109,"COMPUTER SYSTEMS ANALYSTS, NON R&D"
45834750.0,1107,HEALTH EDUCATORS
64170889.0,1096,"POSTSECONDARY TEACHERS, ALL OTHER"
75081234.0,1078,PERSONAL FINANCIAL ADVISORS
56731873.0,1070,"ENVIRONMENTAL SCIENTISTS AND SPECIALISTS, INCLUDIN"
167115023.0,1069,SURGEONS
102014508.0,1058,PUBLIC RELATIONS AND FUNDRAISING MANAGERS
62245526.0,1052,COMPUTER PROGRAMMERS NON R & D
63800375.0,1042,ADMINISTRATIVE SERVICES MANAGERS
51579988.0,1029,"SPECIAL EDUCATION TEACHERS, PRESCHOOL, KINDERGARTE"
50361551.0,1027,"SPECIAL EDUCATION TEACHERS, SECONDARY SCHOOL"
59309326.0,1016,AUDITORS
47174955.0,989,PARALEGALS AND LEGAL ASSISTANTS
37246499.0,965,"MEDIA AND COMMUNICATION WORKERS, ALL OTHER"
63222550.0,960,NETWORK SYSTEMS AND DATA COMMUNICATIONS ANALYSTS
47602668.0,960,"PHILOSOPHY AND RELIGION TEACHERS, POSTSECONDARY"
77966480.0,943,TRAINING AND DEVELOPMENT MANAGERS
47748607.0,928,"POLITICAL SCIENCE TEACHERS, POSTSECONDARY"
54899811.0,901,ATMOSPHERIC AND SPACE SCIENTISTS
45464199.0,895,LANDSCAPE ARCHITECTS
39613575.0,892,"COMMUNICATIONS TEACHERS, POSTSECONDARY"
40101888.0,891,"MIDDLE SCHOOL TEACHERS, EXCEPT SPECIAL AND"
44553526.0,888,"PSYCHOLOGY TEACHERS, POSTSECONDARY"
51404511.0,877,"SALES REPRESENTATIVES, WHOLESALE AND MANUFACTURING"
47683220.0,856,WRITERS AND AUTHORS
80817128.0,841,"DENTISTS, ALL OTHER SPECIALISTS"
62610663.0,832,"HEALTH AND SAFETY ENGINEERS, EXCEPT MINING SAFETY"
34401288.0,809,"MEETING, CONVENTION, AND EVENT PLANNERS"
23376925.0,805,REHABILITATION COUNSELORS
45071966.0,805,URBAN AND REGIONAL PLANNERS
40475695.0,804,ELECTRICAL AND ELECTRONICS ENGINEERING TECHNICIANS
28626444.0,803,MENTAL HEALTH COUNSELORS
34293281.0,794,"FARMERS, RANCHERS, AND OTHER AGRICULTURAL MANAGERS"
37457461.0,779,CURATORS
38614411.0,759,"HISTORY TEACHERS, POSTSECONDARY"
45129695.0,754,EPIDEMIOLOGISTS
56455889.0,747,"COMPUTER AND INFORMATION SCIENTISTS, RESEARCH"
35224637.0,745,BIOCHEMISTS
26834915.0,743,CHEMICAL TECHNICIANS
34923748.0,722,"SPECIAL EDUCATION TEACHERS, MIDDLE SCHOOL"
36883121.0,710,GEOLOGICAL AND PETROLEUM TECHNICIANS
29841607.0,695,"ENGLISH LANGUAGE AND LITERATURE TEACHERS, POSTSECO"
99217646.0,676,OBSTETRICIANS AND GYNECOLOGISTS
46933456.0,661,"EDUCATION ADMINISTRATORS, ELEMENTARY AND SECONDARY"
67788973.0,661,"SECURITIES, COMMODITIES, AND FINANCIAL SERVICES"
39145153.0,660,REGISTERED NURSES*
22608149.0,653,CLERGY
32585510.0,649,ANIMAL SCIENTISTS
49537575.0,639,"MINING AND GEOLOGICAL ENGINEERS, INCLUDING MINING"
28018198.0,634,CHEFS AND HEAD COOKS
29305946.0,634,"WHOLESALE AND RETAIL BUYERS, EXCEPT FARM PRODUCTS"
29897944.0,632,"CIVIL ENGINEERS, R&D"
34824438.0,622,OCCUPATIONAL HEALTH AND SAFETY SPECIALISTS
28391676.0,618,"Health Diagnosing and Treating Practitioners, All "
36702002.0,606,"ARCHITECTURE TEACHERS, POSTSECONDARY"
31638195.0,602,"SOCIAL SCIENTISTS AND RELATED WORKERS, ALL OTHER"
33267079.0,598,ASTRONOMERS
22934747.0,598,"EDUCATIONAL, GUIDANCE, SCHOOL, AND VOCATIONAL COUN"
37465897.0,597,BUSINESS INTELLIGENCE ANALYSTS
31817975.0,590,"CLINICAL, COUNSELING, AND SCHOOL PSYCHOLOGISTS"
27933594.0,590,DIETITIANS AND NUTRITIONISTS
29344535.0,584,"LEGAL SUPPORT WORKERS, ALL OTHER"
28772207.0,580,"PURCHASING AGENTS, EXCEPT WHOLESALE, RETAIL, AND F"
36728142.0,561,"SOFTWARE DEVELOPERS, APPLICATIONS, R&D"
17915693.0,559,"TEACHERS AND INSTRUCTORS, ALL OTHER*"
19670628.0,553,"CHILD, FAMILY, AND SCHOOL SOCIAL WORKERS"
30423049.0,543,"Electronics Engineers, Except Computer, Non R&D"
22383824.0,540,SURVEY RESEARCHERS
40282113.0,538,FINANCIAL EXAMINERS
28794391.0,531,AGRICULTURAL ENGINEERS
28746385.0,521,"ENVIRONMENTAL SCIENTISTS AND SPECIALISTS,"
26652490.0,514,MARKET RESEARCH ANALYSTS AND MARKETING
24906370.0,499,"PSYCHOLOGISTS, ALL OTHER"
72626719.0,498,ANESTHESIOLOGISTS
22201988.0,496,ZOOLOGISTS AND WILDLIFE BIOLOGISTS
16714292.0,492,SELF-ENRICHMENT EDUCATION TEACHERS
23349749.0,486,LIBRARIANS
29707302.0,485,"SALES REPRESENTATIVES, WHOLESALE AND"
22878177.0,484,FILM AND VIDEO EDITORS
27702869.0,474,Multi-Media Artists and Animators
17683576.0,473,ATHLETIC TRAINERS
22908600.0,473,"ENGINEERING TECHNICIANS, EXCEPT DRAFTERS, ALL"
25309207.0,462,"COMPENSATION, BENEFITS, AND JOB ANALYSIS SPECIALIS"
15911160.0,461,"BOOKKEEPING, ACCOUNTING, AND AUDITING CLERKS"
32010344.0,460,"SOFTWARE DEVELOPERS, APPLICATIONS, NON R&D"
21083199.0,457,GEOGRAPHERS
10421705.0,445,RECREATION WORKERS
36733720.0,436,OPTOMETRISTS
15654058.0,430,"DIRECTORS, RELIGIOUS ACTIVITIES AND EDUCATION"
18435623.0,427,"MIDDLE SCHOOL TEACHERS, EXCEPT SPECIAL AND VOCATIO"
16789261.0,424,"EDUCATIONAL, GUIDANCE, SCHOOL, AND VOCATIONAL"
16841489.0,423,MUSIC DIRECTORS AND COMPOSERS
23909634.0,422,"AGRICULTURAL SCIENCES TEACHERS, POSTSECONDARY"
14769480.0,405,"LIFE, PHYSICAL, AND SOCIAL SCIENCE TECHNICIANS, AL"
22711072.0,401,"EDUCATION ADMINISTRATORS, ALL OTHER"
25744656.0,399,INSURANCE UNDERWRITERS
19836445.0,396,CHIROPRACTORS
19089193.0,395,"SOCIOLOGY TEACHERS, POSTSECONDARY"
20555043.0,390,"PURCHASING AGENTS, EXCEPT WHOLESALE, RETAIL, AND"
22183653.0,387,HYDROLOGISTS
28108059.0,385,PHYSICIAN ASSISTANTS
15497115.0,372,STATISTICAL ASSISTANTS
34474350.0,365,"TREASURERS, CONTROLLERS, AND CHIEF FINANCIAL OFFIC"
19848900.0,364,SOCIOLOGISTS
16830082.0,361,"ENGINEERING TECHNICIANS, EXCEPT DRAFTERS, ALL OTHE"
17519041.0,359,"GEOGRAPHY TEACHERS, POSTSECONDARY"
28362096.0,358,POLITICAL SCIENTISTS
23086178.0,351,Computer Security Specialists
18409410.0,348,"NURSING INSTRUCTORS AND TEACHERS, POSTSECONDARY"
12155645.0,343,MENTAL HEALTH AND SUBSTANCE ABUSE SOCIAL WORKERS
16387397.0,336,MECHANICAL ENGINEERING TECHNICIANS
12318338.0,334,CREDIT COUNSELORS
10745918.0,329,AGRICULTURAL AND FOOD SCIENCE TECHNICIANS
13435182.0,328,"RECREATION AND FITNESS STUDIES TEACHERS, POSTSECON"
12249509.0,319,"EDUCATION ADMINISTRATORS, PRESCHOOL AND CHILDCARE"
24443096.0,312,NUCLEAR ENGINEERS
8348508.0,302,ANIMAL BREEDERS
15936767.0,302,"AREA, ETHNIC, AND CULTURAL STUDIES TEACHERS, POSTS"
11917037.0,302,LAW CLERKS
17297709.0,300,"Computer Software Engineers, Applications, Non R&D"
16043365.0,296,"COMPUTER SYSTEMS ANALYSTS, R&D"
13696875.0,292,First-Line Supervisors of Office and Administrativ
13148897.0,288,CIVIL ENGINEERING TECHNICIANS
12540230.0,281,"ENGLISH LANGUAGE AND LITERATURE TEACHERS,"
13974289.0,279,CARTOGRAPHERS AND PHOTOGRAMMETRISTS
7858509.0,275,PHARMACY TECHNICIANS
8607928.0,274,AGRICULTURAL INSPECTORS
22058284.0,274,NURSE PRACTITIONERS
11775369.0,273,HEALTHCARE SOCIAL WORKERS
14876002.0,270,"ATMOSPHERIC, EARTH, MARINE, AND SPACE SCIENCES TEA"
12413599.0,269,MECHANICAL DRAFTERS
18093024.0,267,"SOFTWARE DEVELOPERS, SYSTEMS SOFTWARE, NON R&D"
14436055.0,259,"Computer Systems Analysts, Non R&D (ACWIA Only)"
15725711.0,258,"COMPENSATION, BENEFITS, AND JOB ANALYSIS"
18950602.0,253,NETWORK AND COMPUTER SYSTEMS ADMINISTRATOR
13557336.0,252,Computer Programmer Non R & D
22011511.0,252,MANAGEMENT ANALYST
11954113.0,251,PARALEGALS AND LEGAL ASSISTANTS*
12941305.0,249,"SOCIAL SCIENCES TEACHERS, POSTSECONDARY, ALL OTHER"
